Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Mayo-Wilson E., Fusco N., Li T., Dickersin K., Hong H., Canner J.K.","19337781100;56938344900;24343843800;7005562566;55783150200;56490549100;","Multiple outcomes and analyses in clinical trials create challenges for interpretation and research synthesis",2017,"Journal of Clinical Epidemiology","86",,,"39","50",,15,"10.1016/j.jclinepi.2017.05.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020419684&doi=10.1016%2fj.jclinepi.2017.05.007&partnerID=40&md5=c38eb711c61fa08dd45ad7ffcac0b5c8","Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Department of Mental Health, Johns Hopkins University Bloomberg School of Public Health, 624 N Broadway, Hampton House, Baltimore, MD  21205, United States; Department of Surgery, Johns Hopkins University School of Medicine, 600 North Wolfe Street, Blalock Building, Baltimore, MD  21287, United States","Mayo-Wilson, E., Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Fusco, N., Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Li, T., Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Dickersin, K., Department of Epidemiology, Johns Hopkins University Bloomberg School of Public Health, 615 North Wolfe Street, Baltimore, MD  21205, United States; Hong, H., Department of Mental Health, Johns Hopkins University Bloomberg School of Public Health, 624 N Broadway, Hampton House, Baltimore, MD  21205, United States; Canner, J.K., Department of Surgery, Johns Hopkins University School of Medicine, 600 North Wolfe Street, Blalock Building, Baltimore, MD  21287, United States","Objective To identify variations in outcomes and results across reports of randomized clinical trials (RCTs). Study Design and Setting Eligible RCTs examined gabapentin for neuropathic pain and quetiapine for bipolar depression, reported in public (e.g., journal articles) and nonpublic (e.g., clinical study reports) sources by 2015. We prespecified outcome domains. From each source, we collected “outcomes” (i.e., domain, measure, metric, method of aggregation, and time point); “treatment effect” (i.e., outcome plus the methods of analysis [e.g., how missing data were handled]); and results (i.e., numerical contrasts of treatment and comparison groups). We assessed whether results included sufficient information for meta-analysis. Results We found 21 gabapentin (68 public, 6 nonpublic reports) and seven quetiapine RCTs (46 public, 4 nonpublic reports). For four (gabapentin) and seven (quetiapine) prespecified outcome domains, RCTs reported 214 and 81 outcomes by varying four elements. RCTs assessed 605 and 188 treatment effects by varying the analysis of those outcomes. RCTs reported 1,230 and 661 meta-analyzable results, 305 (25%) and 109 (16%) in public reports. Conclusion RCTs included hundreds of outcomes and results; a small proportion were in public reports. Trialists and meta-analysts may cherry-pick what they report from multiple sources of RCT information. © 2017 The Authors","Clinical trials; Meta-analysis; Outcomes; Selective outcome reporting; Systematic reviews",Review,"Final",Open Access,Scopus,2-s2.0-85020419684
"Wolski M., Howard L., Richardson J.","25961220900;57195737429;55463114800;","A trust framework for online research data services",2017,"Publications","5","2", 14,"","",,,"10.3390/publications5020014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033237136&doi=10.3390%2fpublications5020014&partnerID=40&md5=f64596ba72076c95d8f0b605de083cf4","Information Services, Griffith University, Nathan, 4111, Australia","Wolski, M., Information Services, Griffith University, Nathan, 4111, Australia; Howard, L., Information Services, Griffith University, Nathan, 4111, Australia; Richardson, J., Information Services, Griffith University, Nathan, 4111, Australia","There is worldwide interest in the potential of open science to increase the quality, impact, and benefits of science and research. More recently, attention has been focused on aspects such as transparency, quality, and provenance, particularly in regard to data. For industry, citizens, and other researchers to participate in the open science agenda, further work needs to be undertaken to establish trust in research environments. Based on a critical review of the literature, this paper examines the issue of trust in an open science environment, using virtual laboratories as the focus for discussion. A trust framework, which has been developed from an end-user perspective, is proposed as a model for addressing relevant issues within online research data services and tools. © 2017 by the authors.","Data provenance; Risk perception; Science gateways; Virtual laboratories",Article,"Final",Open Access,Scopus,2-s2.0-85033237136
"Marwick B.","8572128400;","Computational Reproducibility in Archaeological Research: Basic Principles and a Case Study of Their Implementation",2017,"Journal of Archaeological Method and Theory","24","2",,"424","450",,28,"10.1007/s10816-015-9272-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953396823&doi=10.1007%2fs10816-015-9272-9&partnerID=40&md5=5720addf1a758b087fa44bb31944a489","Department of Anthropology, University of Washington, Seattle, WA, United States; Center for Archaeological Science, University of Wollongong, Wollongong, Australia","Marwick, B., Department of Anthropology, University of Washington, Seattle, WA, United States, Center for Archaeological Science, University of Wollongong, Wollongong, Australia","The use of computers and complex software is pervasive in archaeology, yet their role in the analytical pipeline is rarely exposed for other researchers to inspect or reuse. This limits the progress of archaeology because researchers cannot easily reproduce each other’s work to verify or extend it. Four general principles of reproducible research that have emerged in other fields are presented. An archaeological case study is described that shows how each principle can be implemented using freely available software. The costs and benefits of implementing reproducible research are assessed. The primary benefit, of sharing data in particular, is increased impact via an increased number of citations. The primary cost is the additional time required to enhance reproducibility, although the exact amount is difficult to quantify. © 2016, Springer Science+Business Media New York.","Australian archaeology; Computer programming; Open science; Reproducible research; Software engineering",Article,"Final",,Scopus,2-s2.0-84953396823
"Kilicoglu H.","8272303300;","Biomedical text mining for research rigor and integrity: Tasks, challenges, directions",2017,"Briefings in Bioinformatics","19","6",,"1400","1414",,4,"10.1093/bib/bbx057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057237672&doi=10.1093%2fbib%2fbbx057&partnerID=40&md5=53599efe2c36ca8677d272ec4102115b","Lister Hill National Center for Biomedical Communications, U.S. National Library of Medicine, Bethesda, MD  20894, United States","Kilicoglu, H., Lister Hill National Center for Biomedical Communications, U.S. National Library of Medicine, Bethesda, MD  20894, United States","An estimated quarter of a trillion US dollars is invested in the biomedical research enterprise annually. There is growing alarm that a significant portion of this investment is wasted because of problems in reproducibility of research findings and in the rigor and integrity of research conduct and reporting. Recent years have seen a flurry of activities focusing on standardization and guideline development to enhance the reproducibility and rigor of biomedical research. Research activity is primarily communicated via textual artifacts, ranging from grant applications to journal publications. These artifacts can be both the source and the manifestation of practices leading to research waste. For example, an article may describe a poorly designed experiment, or the authors may reach conclusions not supported by the evidence presented. In this article, we pose the question of whether biomedical text mining techniques can assist the stakeholders in the biomedical research enterprise in doing their part toward enhancing research integrity and rigor. In particular, we identify four key areas in which text mining techniques can make a significant contribution: plagiarism/fraud detection, ensuring adherence to reporting guidelines, managing information overload and accurate citation/enhanced bibliometrics. We review the existing methods and tools for specific tasks, if they exist, or discuss relevant research that can provide guidance for future work. With the exponential increase in biomedical research output and the ability of text mining approaches to perform automatic tasks at large scale, we propose that such approaches can support tools that promote responsible research practices, providing significant benefits for the biomedical research enterprise. © The Author 2017. Published by Oxford University Press. All rights reserved.","Biomedical research waste; Biomedical text mining; Natural language processing; Reproducibility; Research integrity; Research rigor",Article,"Final",Open Access,Scopus,2-s2.0-85057237672
"Lowndes J.S.S., Best B.D., Scarborough C., Afflerbach J.C., Frazier M.R., O'Hara C.C., Jiang N., Halpern B.S.","56723784400;25821669900;50462272000;56439968000;7004786022;57194116367;57194723645;7103099423;","Our path to better science in less time using open data science tools",2017,"Nature Ecology and Evolution","1","6", 0160,"","",,33,"10.1038/s41559-017-0160","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028755501&doi=10.1038%2fs41559-017-0160&partnerID=40&md5=ade318f92514af9510d5e207fe0f3a1b","National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; EcoQuants.com, Santa Barbara, CA  93103, United States; Bren School for Environmental Science and Management, University of California, Santa Barbara, CA  93177, United States; Silwood Park Campus, Imperial College London, Ascot, SL5 7PY, United Kingdom","Lowndes, J.S.S., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; Best, B.D., EcoQuants.com, Santa Barbara, CA  93103, United States; Scarborough, C., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; Afflerbach, J.C., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; Frazier, M.R., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; O'Hara, C.C., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; Jiang, N., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States; Halpern, B.S., National Center for Ecological Analysis and Synthesis, University of California at Santa Barbara, Santa Barbara, CA  93101, United States, Bren School for Environmental Science and Management, University of California, Santa Barbara, CA  93177, United States, Silwood Park Campus, Imperial College London, Ascot, SL5 7PY, United Kingdom","Reproducibility has long been a tenet of science but has been challenging to achieve - we learned this the hard way when our old approaches proved inadequate to efficiently reproduce our own work. Here we describe how several free software tools have fundamentally upgraded our approach to collaborative research, making our entire workflow more transparent and streamlined. By describing specific tools and how we incrementally began using them for the Ocean Health Index project, we hope to encourage others in the scientific community to do the same - so we can all produce better science in less time. © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.",,Article,"Final",Open Access,Scopus,2-s2.0-85028755501
"Ma X., West P., Zednik S., Erickson J., Eleish A., Chen Y., Wang H., Zhong H., Fox P.","22941707200;36942463800;24825934400;7201961424;57194592473;57085714900;56022810700;57187590400;7402681364;","Weaving a knowledge network for deep carbon science",2017,"Frontiers in Earth Science","5",, 36,"","",,1,"10.3389/feart.2017.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021142780&doi=10.3389%2ffeart.2017.00036&partnerID=40&md5=4e3e6b8522126f8d4d5897d333affd1b","Department of Computer Science, University of Idaho, Moscow, ID, United States; Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States","Ma, X., Department of Computer Science, University of Idaho, Moscow, ID, United States, Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; West, P., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Zednik, S., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Erickson, J., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Eleish, A., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Chen, Y., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Wang, H., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Zhong, H., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States; Fox, P., Tetherless World Constellation, Rensselaer Polytechnic Institute, Troy, NY, United States","Geoscience researchers are increasingly dependent on informatics and the Web to conduct their research. Geoscience is one of the first domains that take lead in initiatives such as open data, open code, open access, and open collections, which comprise key topics of Open Science in academia. The meaning of being open can be understood at two levels. The lower level is to make data, code, sample collections, and publications, etc., freely accessible online and allow reuse, modification, and sharing. The higher level is the annotation and connection between those resources to establish a network for collaborative scientific research. In the data science component of the Deep Carbon Observatory (DCO), we have leveraged state-of-the-art information technologies and existing online resources to deploy a web portal for the over 1, 000 researchers in the DCO community. An initial aim of the portal is to keep track of all research and outputs related to the DCO community. Further, we intend for the portal to establish a knowledge network, which supports various stages of an open scientific process within and beyond the DCO community. Annotation and linking are the key characteristics of the knowledge network. Not only are key assets, including DCO data andmethods, published in an open and inter-linked fashion, but the people, organizations, groups, grants, projects, samples, field sites, instruments, software programs, activities, meetings, etc., are recorded and connected to each other through relationships based on well-defined, formal conceptual models. The network promotes collaboration among DCO participants, improves the openness and reproducibility of carbon-related research, facilitates accreditation to resource contributors, and eventually stimulates new ideas and findings in deep carbon-related studies. © 2017 Ma, West, Zednik, Erickson, Eleish, Chen,Wang, Zhong and Fox.","Data stewardship; eScience; Knowledge network; Ontologies; Semantic web",Article,"Final",Open Access,Scopus,2-s2.0-85021142780
"Larsson M., Tirado C., Wiens S.","7202000372;57194279041;6602535155;","A meta-analysis of odor thresholds and odor identification in autism spectrum disorders",2017,"Frontiers in Psychology","8","MAY", 679,"","",,3,"10.3389/fpsyg.2017.00679","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019571099&doi=10.3389%2ffpsyg.2017.00679&partnerID=40&md5=d50c2224b7f6f202f05a96316635f97a","Gösta Ekman Laboratory, Department of Psychology, Stockholm University, Stockholm, Sweden","Larsson, M., Gösta Ekman Laboratory, Department of Psychology, Stockholm University, Stockholm, Sweden; Tirado, C., Gösta Ekman Laboratory, Department of Psychology, Stockholm University, Stockholm, Sweden; Wiens, S., Gösta Ekman Laboratory, Department of Psychology, Stockholm University, Stockholm, Sweden","Autism Spectrum Disorders (ASD) are often accompanied by atypical visual, auditory, and tactile sensory behavior. Evidence also suggests alterations of the olfactory system, but the pattern of findings appears mixed. To quantify this pattern systematically, we conducted a meta-analysis. Studies were included if they examined olfactory function (i.e., odor threshold, or odor identification) in ASD compared with healthy age-matched control groups. We also coded for the potential moderators gender, age, and IQ. Articles were identified through computerized literature search using Web of Science, PubMed, and Scopus databases. A total of 11 articles compared odor threshold and/or odor identification between cases and controls (for threshold, n = 143 ASD and 148 controls; and for identification, n = 132 ASD and 139 controls). Effects sizes showed a substantial heterogeneity. As a result, the 95% prediction intervals were wide and ranged between a large negative and a large positive effect size for odor threshold, [-1.86, 2.05], and for odor identification, [-1.51, 2.52]. Exploratory analyses suggested that age and IQ may be potential moderators. To conclude, the large heterogeneity is consistent with the notion of both hyposensitivity and hypersensitivity in individuals with ASD. However, future research needs to predict and test the specific direction of the effect to provide convincing evidence for atypical olfactory functions in ASD. © 2017 Larsson, Tirado and Wiens.","Autism; Meta-analysis; Odor identification; Odor threshold; Olfactory sense",Review,"Final",Open Access,Scopus,2-s2.0-85019571099
"Lawrence J.S., Smith J.L.","34877278100;9276686200;","Academically contingent self-worth and vulnerability: When approach self-validation goals are more threatening than avoidance self-validation goals",2017,"Self and Identity","16","3",,"353","372",,,"10.1080/15298868.2017.1292183","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012875089&doi=10.1080%2f15298868.2017.1292183&partnerID=40&md5=9406907df1023d46f41727d1d8f2c90c","Department of Psychology, University of Massachusetts Lowell, 113 Wilder St., Lowell, MA  01854, United States; Department of Psychology, Montana State University, Bozeman, MT, United States","Lawrence, J.S., Department of Psychology, University of Massachusetts Lowell, 113 Wilder St., Lowell, MA  01854, United States; Smith, J.L., Department of Psychology, Montana State University, Bozeman, MT, United States","When are people who base their self-worth on academic competence vulnerable to negative outcomes such as anxiety and underperformance? One answer, according to decades of achievement goal research, seems obvious: when they aim to avoid demonstrating inability (called avoidance self-validation goals). Less clear is whether such vulnerability also exists when aiming to demonstrate ability (approach self-validation goals). Surprisingly, two studies found no evidence of vulnerability among participants who base self-worth on academics when avoidance self-validation goals were salient. Instead, it was when approach self-validation goals were salient that participants’ academically contingent self-worth most reliably predicted vulnerability. These results suggest that, within domains of contingency, people worry more about self-enhancement afforded by approach self-validation goals than about self-protection afforded by avoidance self-validation goals. © 2017 Informa UK Limited, trading as Taylor & Francis Group.","achievement motivation; anxiety; approach goals; avoidance goals; Contingencies of self-worth; math performance; self-validation goals",Article,"Final",,Scopus,2-s2.0-85012875089
"van de Schoot R., Sijbrandij M., Winter S.D., Depaoli S., Vermunt J.K.","35096918400;14066824800;56982473800;44061150900;7006957089;","The GRoLTS-Checklist: Guidelines for Reporting on Latent Trajectory Studies",2017,"Structural Equation Modeling","24","3",,"451","467",,22,"10.1080/10705511.2016.1247646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994904751&doi=10.1080%2f10705511.2016.1247646&partnerID=40&md5=53202b1a8d15621cb555d2530b667c3c","Utrecht University, Netherlands; North-West University, South Africa; Vrije University Amsterdam, Netherlands; EMGO Institute for Health and Care Research, Netherlands; University of California, Merced, United States; Tilburg University, Netherlands","van de Schoot, R., Utrecht University, Netherlands, North-West University, South Africa; Sijbrandij, M., Vrije University Amsterdam, Netherlands, EMGO Institute for Health and Care Research, Netherlands; Winter, S.D., Utrecht University, Netherlands; Depaoli, S., University of California, Merced, United States; Vermunt, J.K., Tilburg University, Netherlands","Estimating models within the mixture model framework, like latent growth mixture modeling (LGMM) or latent class growth analysis (LCGA), involves making various decisions throughout the estimation process. This has led to a wide variety in how results of latent trajectory analysis are reported. To overcome this issue, using a 4-round Delphi study, we developed Guidelines for Reporting on Latent Trajectory Studies (GRoLTS). The purpose of GRoLTS is to present criteria that should be included when reporting the results of latent trajectory analysis across research fields. We have gone through a systematic process to identify key components that, according to a panel of experts, are necessary when reporting results for trajectory studies. We applied GRoLTS to 38 papers where LGMM or LCGA was used to study trajectories of posttraumatic stress after a traumatic event. © 2017, Published with license by Taylor & Francis. © 2017 Rens van de Schoot, Marit Sijbrandij, Sonja D. Winter, Sarah Depaoli, and Jeroen K. Vermunt.","latent classes; LCGA; LGMM; mixture modeling; SEM",Article,"Final",Open Access,Scopus,2-s2.0-84994904751
"Flake J.K., Pek J., Hehman E.","56584164500;8611520700;35191907400;","Construct Validation in Social and Personality Research: Current Practice and Recommendations",2017,"Social Psychological and Personality Science","8","4",,"370","378",,16,"10.1177/1948550617693063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021772639&doi=10.1177%2f1948550617693063&partnerID=40&md5=7ff4cf59c37cf3529eeb7b839e3d37e4","Department of Psychology, York University, Toronto, ON, Canada; Department of Psychology, Ryerson University, Toronto, ON, Canada","Flake, J.K., Department of Psychology, York University, Toronto, ON, Canada; Pek, J., Department of Psychology, York University, Toronto, ON, Canada; Hehman, E., Department of Psychology, Ryerson University, Toronto, ON, Canada","The verity of results about a psychological construct hinges on the validity of its measurement, making construct validation a fundamental methodology to the scientific process. We reviewed a representative sample of articles published in the Journal of Personality and Social Psychology for construct validity evidence. We report that latent variable measurement, in which responses to items are used to represent a construct, is pervasive in social and personality research. However, the field does not appear to be engaged in best practices for ongoing construct validation. We found that validity evidence of existing and author-developed scales was lacking, with coefficient α often being the only psychometric evidence reported. We provide a discussion of why the construct validation framework is important for social and personality researchers and recommendations for improving practice. © 2017, © The Author(s) 2017.","applied social psychology; measurement; personality; research methods",Article,"Final",,Scopus,2-s2.0-85021772639
"Bostrom N.","6508071947;","Strategic Implications of Openness in AI Development",2017,"Global Policy","8","2",,"135","148",,5,"10.1111/1758-5899.12403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012935492&doi=10.1111%2f1758-5899.12403&partnerID=40&md5=7253a3eba896cf278536cc7a8e8e04e5","Future of Humanity Institute, University of Oxford, Oxford, United Kingdom","Bostrom, N., Future of Humanity Institute, University of Oxford, Oxford, United Kingdom","This paper attempts a preliminary analysis of the global desirability of different forms of openness in AI development (including openness about source code, science, data, safety techniques, capabilities, and goals). Short-term impacts of increased openness appear mostly socially beneficial in expectation. The strategic implications of medium and long-term impacts are complex. The evaluation of long-term impacts, in particular, may depend on whether the objective is to benefit the present generation or to promote a time-neutral aggregate of well-being of future generations. Some forms of openness are plausibly positive on both counts (openness about safety measures, openness about goals). Others (openness about source code, science, and possibly capability) could lead to a tightening of the competitive situation around the time of the introduction of advanced AI, increasing the probability that winning the AI race is incompatible with using any safety method that incurs a delay or limits performance. We identify several key factors that must be taken into account by any well-founded opinion on the matter. © 2017 The Authors Global Policy published by Durham University and John Wiley & Sons, Ltd",,Article,"Final",Open Access,Scopus,2-s2.0-85012935492
"Shavit A., Ellison A.M.","16053892200;34975053400;","Stepping in the same river twice: Replication in biological research",2017,"Stepping in the Same River Twice: Replication in Biological Research",,,,"1","318",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027693893&partnerID=40&md5=549fbc110f1a1295b8e94420cfd1c134","Tel Hai College, Israel; Harvard Forest, Harvard University, United States","Shavit, A., Tel Hai College, Israel; Ellison, A.M., Harvard Forest, Harvard University, United States","An international team of biologists, philosophers, and historians of science explores the critically important process of replication in biological and biomedical research Without replication, the trustworthiness of scientific research remains in doubt. Although replication is increasingly recognized as a central problem in many scientific disciplines, repeating the same scientific observations of experiments or reproducing the same set of analyses from existing data is remarkably difficult. In this important volume, an international team of biologists, philosophers, and historians of science addresses challenges and solutions for valid replication of research in medicine, ecology, natural history, agriculture, physiology, and computer science. After the introduction to important concepts and historical background, the book offers paired chapters that provide theoretical overviews followed by detailed case studies. These studies range widely in topics, from infectious-diseases and environmental monitoring to museum collections, meta-analysis, bioinformatics, and more. The closing chapters explicate and quantify problems in the case studies, and the volume concludes with important recommendations for best practices. © 2017 by Yale University. All rights reserved.",,Book,"Final",,Scopus,2-s2.0-85027693893
"McCluskey K.","6603588512;","Fungal Genetic Resources for Biotechnology",2017,"Microbial Resources: From Functional Existence in Nature to Applications",,,,"219","235",,,"10.1016/B978-0-12-804765-1.00011-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040330643&doi=10.1016%2fB978-0-12-804765-1.00011-4&partnerID=40&md5=5af4327acaf26363e6a171ba8814430f","Kansas State University, Manhattan, KS, United States","McCluskey, K., Kansas State University, Manhattan, KS, United States","Resources for fungal genetics are diverse and build upon success with model organisms over many decades. Diverse materials include strains for characterizing newly isolated mutants, mutant strains with defined characteristics, and genetic or molecular mapping resources. In the emerging postgenomics era, classical mutants give way to targeted gene deletion mutants and additional resources, including plasmids, gene libraries, and strains from whole genome sequence analysis support this transition. The high number of citations to resources from these programs demonstrate the significant impact of genetic collections. Fungal genetic resources exist alongside and complement traditional type strain or biodiversity collections. © 2017 Elsevier Inc. All rights reserved.","Culture collections; Databases; Fungi; Genetics; Genomics; Model organisms",Book Chapter,"Final",,Scopus,2-s2.0-85040330643
"Veldkamp C.L.S., Hartgerink C.H.J., van Assen M.A.L.M., Wicherts J.M.","56449021800;56454323300;7801560815;55951677000;","Who Believes in the Storybook Image of the Scientist?",2017,"Accountability in Research","24","3",,"127","151",,2,"10.1080/08989621.2016.1268922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009953728&doi=10.1080%2f08989621.2016.1268922&partnerID=40&md5=6abfe35b3cdc1e983e6b38f3bb6d7fa6","Department of Methodology and Statistics, Tilburg School of Social and Behavioral Sciences, Tilburg University, Tilburg, Netherlands; Department of Sociology, Faculty of Social and Behavioral Sciences, Utrecht University, Utrecht, Netherlands","Veldkamp, C.L.S., Department of Methodology and Statistics, Tilburg School of Social and Behavioral Sciences, Tilburg University, Tilburg, Netherlands; Hartgerink, C.H.J., Department of Methodology and Statistics, Tilburg School of Social and Behavioral Sciences, Tilburg University, Tilburg, Netherlands; van Assen, M.A.L.M., Department of Methodology and Statistics, Tilburg School of Social and Behavioral Sciences, Tilburg University, Tilburg, Netherlands, Department of Sociology, Faculty of Social and Behavioral Sciences, Utrecht University, Utrecht, Netherlands; Wicherts, J.M., Department of Methodology and Statistics, Tilburg School of Social and Behavioral Sciences, Tilburg University, Tilburg, Netherlands","Do lay people and scientists themselves recognize that scientists are human and therefore prone to human fallibilities such as error, bias, and even dishonesty? In a series of three experimental studies and one correlational study (total N = 3,278) we found that the “storybook image of the scientist” is pervasive: American lay people and scientists from over 60 countries attributed considerably more objectivity, rationality, open-mindedness, intelligence, integrity, and communality to scientists than to other highly-educated people. Moreover, scientists perceived even larger differences than lay people did. Some groups of scientists also differentiated between different categories of scientists: established scientists attributed higher levels of the scientific traits to established scientists than to early-career scientists and Ph.D. students, and higher levels to Ph.D. students than to early-career scientists. Female scientists attributed considerably higher levels of the scientific traits to female scientists than to male scientists. A strong belief in the storybook image and the (human) tendency to attribute higher levels of desirable traits to people in one’s own group than to people in other groups may decrease scientists’ willingness to adopt recently proposed practices to reduce error, bias and dishonesty in science. © 2015 The Author(s). Published by Taylor & Francis.","Bias; fallibility; integrity; RCR; scientists",Article,"Final",,Scopus,2-s2.0-85009953728
"Giofrè D., Cumming G., Fresc L., Boedker I., Tressoldi P.","36158220300;7102080914;57193926637;57193926521;6603556866;","The influence of journal submission guidelines on authors' reporting of statistics and use of open research practices",2017,"PLoS ONE","12","4", e0175583,"","",,11,"10.1371/journal.pone.0175583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017533169&doi=10.1371%2fjournal.pone.0175583&partnerID=40&md5=b15131fd0ff817060f3ce0f51a0ba25b","School of Natural Sciences and Psychology, Liverpool John Moores University, Liverpool, United Kingdom; School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Department of General Psychology, University of Padova, Padova, Italy; Institute of Psychology, Health and Society, University of Liverpool, Liverpool, United Kingdom","Giofrè, D., School of Natural Sciences and Psychology, Liverpool John Moores University, Liverpool, United Kingdom; Cumming, G., School of Psychology and Public Health, La Trobe University, Melbourne, VIC, Australia; Fresc, L., Department of General Psychology, University of Padova, Padova, Italy; Boedker, I., Institute of Psychology, Health and Society, University of Liverpool, Liverpool, United Kingdom; Tressoldi, P., Department of General Psychology, University of Padova, Padova, Italy","From January 2014, Psychological Science introduced new submission guidelines that encouraged the use of effect sizes, estimation, and meta-analysis (the ""new statistics""), required extra detail of methods, and offered badges for use of open science practices. We investigated the use of these practices in empirical articles published by Psychological Science and, for comparison, by the Journal of Experimental Psychology: General, during the period of January 2013 to December 2015. The use of null hypothesis significance testing (NHST) was extremely high at all times and in both journals. In Psychological Science, the use of confidence intervals increased markedly overall, from 28% of articles in 2013 to 70% in 2015, as did the availability of open data (3 to 39%) and open materials (7 to 31%). The other journal showed smaller or much smaller changes. Our findings suggest that journalspecific submission guidelines may encourage desirable changes in authors' practices. © 2017 Giofrè et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",,Article,"Final",Open Access,Scopus,2-s2.0-85017533169
